Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,50,2363,916500,-11000,1347678500.0,54,578,594000,-40500,315625325.0,0.648,0.245,2026-05-20
ABB,149,67350,2296375,-92625,57501754243.75,141,20246,1175875,180500,16066020431.25,0.512,0.301,2026-05-20
ABCAPITAL,65,13702,20283300,-762600,15538182545.0,68,7838,13884900,-1205900,8407365230.0,0.685,0.572,2026-05-20
ADANIENSOL,79,10659,8048025,-104625,10170310353.75,75,4047,4083750,-2025,3535079422.5,0.507,0.38,2026-05-20
ADANIENT,126,32258,12279660,-287061,28104949646.4,137,17481,7918743,-49440,14305318260.149998,0.645,0.542,2026-05-20
ADANIGREEN,153,19216,12091800,-69000,16667076900.0,156,10004,8053800,-168000,7487733390.0,0.666,0.521,2026-05-20
ADANIPORTS,75,26197,10752100,-488775,22849442536.25,82,15714,7970500,-40375,12915498686.25,0.741,0.6,2026-05-20
ADANIPOWER,92,17303,54048750,-1590400,14423476192.0,97,4988,23550700,-745500,3755190674.5,0.436,0.288,2026-05-20
ALKEM,85,4033,432375,-15875,2895140837.5,88,1258,230000,18500,850668556.25,0.532,0.312,2026-05-20
AMBER,92,47486,3160200,-9400,36228086520.0,95,29898,1680600,-26400,20804725160.0,0.532,0.63,2026-05-20
AMBUJACEM,71,10123,21674100,473550,4819758615.0,71,3479,12935100,337050,1655351565.0,0.597,0.344,2026-05-20
ANGELONE,61,24059,24710000,-1422500,20484397125.0,59,12912,16022500,-1272500,10190678875.0,0.648,0.537,2026-05-20
APLAPOLLO,87,5571,1917300,-6300,3871940100.0,82,4019,1333500,117950,2555695765.0,0.696,0.721,2026-05-20
APOLLOHOSP,119,51837,1765500,401000,54959096950.0,121,20054,1087875,248000,19743208025.0,0.616,0.387,2026-05-20
ASHOKLEY,76,27076,118705000,-8530000,21996583950.0,74,13104,76585000,-1330000,9987071200.0,0.645,0.484,2026-05-20
ASIANPAINT,111,21901,7422250,-24750,14677535462.5,118,19179,4503500,-65000,12260270487.5,0.607,0.876,2026-05-20
ASTRAL,76,26549,5003950,-308550,17368313733.75,76,21853,2996250,-282625,13120475092.5,0.599,0.823,2026-05-20
AUBANK,85,12209,8520000,-181000,12392885350.0,88,6175,6250000,429000,5915253850.0,0.734,0.506,2026-05-20
AUROPHARMA,69,11370,4115650,266200,9897051340.0,65,6054,2952950,-204050,4857476552.5,0.717,0.532,2026-05-20
AXISBANK,102,63298,22966250,-874375,50754847656.25,98,30837,12283750,388750,23916822843.75,0.535,0.487,2026-05-20
BAJAJ-AUTO,94,80332,2031375,147900,64573092322.5,93,41065,1673025,190650,30943428322.5,0.824,0.511,2026-05-20
BAJAJFINSV,80,34044,6689750,-104300,15419010535.0,79,12310,3603750,130250,5473421462.5,0.539,0.362,2026-05-20
BAJAJHLDNG,80,1357,112150,-2450,740510632.5,84,1549,52100,-3050,717825765.0,0.465,1.141,2026-05-20
BAJFINANCE,81,28362,20984250,-1449000,20336427375.0,86,17114,14895750,-431250,11779765312.5,0.71,0.603,2026-05-20
BANDHANBNK,81,9689,39474000,-122400,7057505448.0,86,4532,24480000,-964800,3086930052.0,0.62,0.468,2026-05-20
BANKBARODA,91,19440,49154625,1009125,15460894946.25,86,11072,35968725,-327600,8414008053.75,0.732,0.57,2026-05-20
BANKINDIA,52,4288,33326800,364000,3254926948.0,51,2805,20087600,-57200,2091793184.0,0.603,0.654,2026-05-20
BANKNIFTY,605,2890074,22913490,254910,4803544322737.5,605,2099919,18413010,886650,3314965905574.5,0.804,0.727,2026-05-20
