Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,53,1807,866000,109500,1017730500.0,53,635,416500,66000,328737450.0,0.481,0.351,2026-04-29
ABB,136,5449,581000,64375,5301039281.25,136,2765,376875,19750,2486537568.75,0.649,0.507,2026-04-29
ABCAPITAL,58,7449,6423200,2005700,8648598085.0,58,3430,6448000,1450800,3681185055.0,1.004,0.46,2026-04-29
ADANIENSOL,77,6432,3980475,521775,6711829425.0,77,6026,2516400,474525,5015323980.0,0.632,0.937,2026-04-29
ADANIENT,109,34436,5733804,882813,27472628593.35,109,15057,4313949,338046,11092641644.849998,0.752,0.437,2026-04-29
ADANIGREEN,114,9384,5045400,411600,7545747750.0,114,7188,3849600,559200,5312265720.0,0.763,0.766,2026-04-29
ADANIPORTS,68,18291,5073475,548625,15251426658.75,68,11562,4265975,766175,8922695070.0,0.841,0.632,2026-04-29
ADANIPOWER,84,10344,25077200,6059850,8908402163.0,84,5732,15012950,3922750,4424805590.5,0.599,0.554,2026-04-29
ALKEM,88,1128,104875,30875,808403412.5,88,1335,84375,33000,836513650.0,0.805,1.184,2026-04-29
AMBER,76,2951,268000,41800,2586797860.0,76,1210,140600,15000,956979980.0,0.525,0.41,2026-04-29
AMBUJACEM,68,7676,10548300,1657950,3978591592.5,68,4299,8818950,1642200,2104439977.5,0.836,0.56,2026-04-29
ANGELONE,64,4290,9702500,1070000,3673577950.0,64,3078,6960000,1125000,2380221900.0,0.717,0.717,2026-04-29
APLAPOLLO,92,1644,520450,155750,1229402300.0,91,1223,445900,144550,831393990.0,0.857,0.744,2026-04-29
APOLLOHOSP,105,5390,470625,152750,5508944481.25,105,3286,273000,124000,3117403500.0,0.58,0.61,2026-04-29
ASHOKLEY,68,11841,63755000,13600000,11025264950.0,66,5205,43265000,4240000,4314391850.0,0.679,0.44,2026-04-29
ASIANPAINT,100,9294,2108000,412000,6097068150.0,100,8567,2210250,355500,5200816662.5,1.049,0.922,2026-04-29
ASTRAL,66,8094,1148775,323425,5747729495.0,66,3324,923950,318750,2208635452.5,0.804,0.411,2026-04-29
AUBANK,88,9515,7055000,706000,10438816850.0,88,4305,3701000,286000,4352284700.0,0.525,0.452,2026-04-29
AUROPHARMA,59,6844,2346300,585750,5585820377.5,59,3985,1376100,538450,3066732707.5,0.586,0.582,2026-04-29
AXISBANK,107,38092,9903750,1810625,32474851156.25,106,23354,6414375,1415625,18790264562.5,0.648,0.613,2026-04-29
BAJAJ-AUTO,73,13590,569625,147150,10362710280.0,73,7438,497850,107250,5230104671.25,0.874,0.547,2026-04-29
BAJAJFINSV,72,10281,1763250,458250,4886365087.5,73,6477,2003500,398250,2843800037.5,1.136,0.63,2026-04-29
BAJAJHLDNG,86,716,22750,10550,398822710.0,86,531,16350,10650,257027272.5,0.719,0.742,2026-04-29
BAJFINANCE,74,40766,14516250,4608750,30426086362.5,74,22512,12369000,4192500,15509170387.5,0.852,0.552,2026-04-29
BANDHANBNK,88,78962,33278400,10479600,59635521144.0,88,45736,27248400,15260400,31698065448.0,0.819,0.579,2026-04-29
BANKBARODA,91,7780,26003250,3290625,6610414443.75,91,4639,23531625,3466125,3672555822.0,0.905,0.596,2026-04-29
BANKINDIA,51,2930,12350000,3322800,2403167832.0,51,1681,10951200,1419600,1255199400.0,0.887,0.574,2026-04-29
BANKNIFTY,573,973189,10742700,1901100,1709000565273.0,573,829836,10099410,1448040,1363417713915.0,0.94,0.853,2026-04-29
BDL,61,8451,1796900,575750,4515754950.0,61,2569,925400,118300,1254396990.0,0.515,0.304,2026-04-29
BEL,70,21408,29853750,3876000,14358383576.25,71,10951,19697775,2143200,6793015755.0,0.66,0.512,2026-04-29
BHARATFORG,75,10147,1542000,530000,10341492075.0,75,4092,1176500,368500,3845427650.0,0.763,0.403,2026-04-29
BHARTIARTL,69,47446,5907100,1063050,44266024083.75,68,22426,4873500,883500,19800673846.25,0.825,0.473,2026-04-29
BHEL,132,11777,22094625,2756250,11554515892.5,132,8613,18674250,2184000,7679993632.5,0.845,0.731,2026-04-29
BIOCON,62,17948,22037500,13162500,17826947250.0,62,4672,10660000,4510000,4223729875.0,0.484,0.26,2026-04-29
BLUESTARCO,93,2983,780650,231075,1947472296.25,93,1535,466700,241150,924887957.5,0.598,0.515,2026-04-29
BOSCHLTD,125,1443,27075,12950,1442915957.5,125,740,17850,7000,670816493.75,0.659,0.513,2026-04-29
BPCL,56,9147,15118625,3750525,6039340551.25,56,5685,9323975,2531950,3440195620.0,0.617,0.622,2026-04-29
BRITANNIA,89,5000,420750,141375,3793348893.75,89,3107,311000,106500,2172113287.5,0.739,0.621,2026-04-29
BSE,63,15909,3912000,575250,23115016837.5,64,12602,3496125,461625,16361823412.5,0.894,0.792,2026-04-29
CAMS,59,2155,1299750,427500,1314277312.5,59,1167,1044750,350250,669243600.0,0.804,0.542,2026-04-29
CANBK,109,7314,46541250,8133750,7295485320.0,109,4963,47459250,6966000,4580329342.5,1.02,0.679,2026-04-29
CDSL,53,13872,3820900,1106750,9304675535.0,53,6996,3277025,532950,4396891863.75,0.858,0.504,2026-04-29
CGPOWER,73,2972,2083350,119850,2243845045.0,73,2030,1523200,566100,1411196010.0,0.731,0.683,2026-04-29
CHOLAFIN,74,4101,1863125,350625,4236602156.25,74,2465,1055000,184375,2402560968.75,0.566,0.601,2026-04-29
CIPLA,105,9199,2932500,756000,4774310756.25,104,3568,2065875,299625,1731647456.25,0.704,0.388,2026-04-29
COALINDIA,73,72241,22808250,-1389150,48987952740.0,73,37481,17271900,2166750,23697074205.0,0.757,0.519,2026-04-29
COCHINSHIP,79,17645,1073200,317600,13281509520.0,79,3822,744800,365600,2614616400.0,0.694,0.217,2026-04-29
COFORGE,54,11337,5173500,531750,5568463237.5,53,6517,3376125,690750,3001936031.25,0.653,0.575,2026-04-29
COLPAL,92,7480,958725,174150,3807534870.0,91,2284,503325,63225,1095169173.75,0.525,0.305,2026-04-29
CONCOR,83,3057,4213750,671250,2109891375.0,83,980,3231250,286250,628499312.5,0.767,0.321,2026-04-29
CROMPTON,94,24844,11512800,5464800,13194718848.0,94,6392,4735800,1998000,3176944380.0,0.411,0.257,2026-04-29
CUMMINSIND,82,4668,457200,129600,5200814020.0,82,1935,338400,93600,2004621970.0,0.74,0.415,2026-04-29
DABUR,73,4381,3862500,1128750,2647234375.0,73,1538,2641250,663750,846349375.0,0.684,0.351,2026-04-29
DALBHARAT,76,5758,665275,58500,3877058737.5,76,2632,489775,116675,1625367883.75,0.736,0.457,2026-04-29
DELHIVERY,71,2396,4760050,346525,2475392311.25,71,1167,1842600,452350,1121746348.75,0.387,0.487,2026-04-29
DIVISLAB,100,6625,359100,75600,4532735950.0,100,2852,266200,72300,1838090960.0,0.741,0.43,2026-04-29
DIXON,96,20388,838150,87400,12565393970.0,96,13159,750950,72650,7290203717.5,0.896,0.645,2026-04-29
DLF,102,12903,5972175,1938750,6803537606.25,101,5256,4416225,719400,2576201182.5,0.739,0.407,2026-04-29
DMART,66,6441,501450,116400,4741989120.0,66,3674,355200,97050,2455687042.5,0.708,0.57,2026-04-29
DRREDDY,109,32349,6365625,2577500,28617679937.5,109,20928,3674375,1061875,17530752062.5,0.577,0.647,2026-04-29
EICHERMOT,107,20405,720700,203500,15674171915.0,107,7334,634800,124700,5235694440.0,0.881,0.359,2026-04-29
ETERNAL,83,135579,85789225,39714225,90857741919.75,83,61122,48058650,10463875,37703200339.0,0.56,0.451,2026-04-29
EXIDEIND,116,10485,9091800,1074600,7306044030.0,116,3542,6377400,739800,2305607670.0,0.701,0.338,2026-04-29
FEDERALBNK,89,75544,37442500,22757500,58923991875.0,89,38449,17425000,6930000,28163538250.0,0.465,0.509,2026-04-29
FINNIFTY,250,3711,75240,52320,6114175302.0,250,2580,36300,30120,3991595397.0,0.482,0.695,2026-04-29
FORCEMOT,40,8794,81700,47600,5275980108.75,40,2069,28100,14625,1013192846.25,0.344,0.235,2026-04-29
FORTIS,80,1118,1096625,225525,866366455.0,80,1325,578925,63550,953452856.25,0.528,1.185,2026-04-29
GAIL,128,6769,15280650,4072950,3750496596.0,129,4438,16950150,4617900,2284343743.5,1.109,0.656,2026-04-29
GLENMARK,104,7387,1400250,119625,7123029787.5,104,3284,820875,129000,2884564275.0,0.586,0.445,2026-04-29
GMRAIRPORT,78,4475,47032425,8028225,3265945123.5,78,2607,27697725,7170300,1739152986.75,0.589,0.583,2026-04-29
GODFRYPHLP,102,14336,484275,328625,9568453427.5,102,2582,228250,150700,1573814096.25,0.471,0.18,2026-04-29
GODREJCP,90,2058,727000,152000,1204988100.0,90,837,657500,77500,456836225.0,0.904,0.407,2026-04-29
GODREJPROP,78,7139,1240525,293975,3893888693.75,78,4796,978725,286550,2423220827.5,0.789,0.672,2026-04-29
GRASIM,103,5583,882250,90000,4163665000.0,103,2171,676000,67000,1492135300.0,0.766,0.389,2026-04-29
HAL,77,14121,1634400,218250,9822502117.5,78,5661,1454250,167400,3679145295.0,0.89,0.401,2026-04-29
HAVELLS,117,9978,4225500,591500,6796798400.0,117,6175,2203500,372500,3829507450.0,0.521,0.619,2026-04-29
HCLTECH,121,48537,20509300,1181950,22191163470.0,121,27399,10884300,472850,11363928712.5,0.531,0.564,2026-04-29
HDFCAMC,115,2599,653700,84000,2291997060.0,115,1190,463200,78600,959908560.0,0.709,0.458,2026-04-29
HDFCBANK,124,113717,54611150,7976650,52133831475.0,122,53378,31552950,4698100,22973102185.0,0.578,0.469,2026-04-29
HDFCLIFE,101,14482,11165000,2831400,10117328760.0,101,6883,7167600,1384900,4418865385.0,0.642,0.475,2026-04-29
HEROMOTOCO,84,14502,965100,120300,11950400670.0,84,6833,659250,164250,5180221462.5,0.683,0.471,2026-04-29
